1,true,false,false,false
2,false,false,false,false
3,false,false,false,false
4,false,false,false,false
5,false,false,false,false
6,false,false,false,false
7,false,false,false,false
8,false,false,false,false
9,false,false,false,false
10,false,false,false,false
11,false,false,false,false
12,false,false,false,false
13,false,false,false,false
14,false,false,false,false
15,false,false,false,false
16,false,false,false,false
17,false,false,false,false
18,false,false,false,false
19,false,false,false,false
20,false,false,false,false
21,false,false,false,false
22,false,false,false,false
23,false,false,false,false
24,false,false,false,false
